Group 41	(omitted pair: (2, 12)): 	[(0, 1, 13),(3, 6, 14),(4, 5, 15),(7, 9, 16),(8, 10, 11)]
Group 42	(omitted pair: (2, 13)): 	[(0, 3, 6),(1, 10, 12),(4, 7, 8),(5, 14, 16),(9, 11, 15)]
Group 43	(omitted pair: (2, 14)): 	[(0, 3, 7),(1, 4, 6),(5, 11, 12),(8, 10, 16),(9, 13, 15)]
Group 44	(omitted pair: (2, 15)): 	[(0, 1, 16),(3, 6, 12),(4, 5, 13),(7, 9, 10),(8, 11, 14)]
Group 45	(omitted pair: (2, 16)): 	[(0, 1, 12),(3, 7, 8),(4, 9, 10),(5, 13, 15),(6, 11, 14)]
Group 46	(omitted pair: (3, 4)): 	[(0, 2, 16),(1, 5, 8),(6, 10, 11),(7, 12, 15),(9, 13, 14)]
Group 47	(omitted pair: (3, 5)): 	[(0, 1, 14),(2, 4, 9),(6, 10, 15),(7, 11, 12),(8, 13, 16)]
Group 48	(omitted pair: (3, 6)): 	[(0, 4, 5),(1, 9, 13),(2, 12, 14),(7, 10, 16),(8, 11, 15)]
Group 49	(omitted pair: (3, 7)): 	[(0, 5, 12),(1, 14, 16),(2, 9, 11),(4, 13, 15),(6, 8, 10)]
Group 50	(omitted pair: (3, 8)): 	[(0, 5, 16),(1, 10, 13),(2, 12, 15),(4, 7, 11),(6, 9, 14)]
Group 51	(omitted pair: (3, 9)): 	[(0, 10, 15),(1, 12, 16),(2, 8, 13),(4, 5, 14),(6, 7, 11)]
Group 52	(omitted pair: (3, 10)): 	[(0, 11, 12),(1, 8, 14),(2, 5, 15),(4, 13, 16),(6, 7, 9)]
Group 53	(omitted pair: (3, 11)): 	[(0, 4, 9),(1, 8, 15),(2, 14, 16),(5, 12, 13),(6, 7, 10)]
Group 54	(omitted pair: (3, 12)): 	[(0, 6, 9),(1, 4, 14),(2, 7, 15),(5, 11, 16),(8, 10, 13)]
